id,beacon1,beacon2,beacon3,location
1,-87,-71,-79,3
2,-999,-999,-999,3
3,-999,-999,-999,3
4,-999,-93,-49,3
5,-999,-999,-999,3
6,-999,-91,-44,3
7,-999,-99,-47,3
8,-999,-999,-999,3
9,-999,-94,-44,3
10,-999,-90,-47,3
11,-999,-94,-44,3
12,-999,-999,-999,3
13,-999,-91,-45,3
14,-103,-96,-44,3
15,-999,-999,-47,3
16,-999,-90,-45,3
17,-999,-999,-999,3
18,-999,-999,-47,3
19,-999,-90,-46,3
20,-999,-95,-44,3
21,-999,-999,-999,3
22,-999,-94,-44,3
23,-999,-100,-47,3
24,-999,-90,-45,3
25,-999,-999,-999,3
26,-999,-90,-45,3
27,-999,-92,-44,3
28,-999,-89,-48,3
29,-999,-90,-999,3
30,-999,-999,-999,3
31,-999,-99,-47,3
32,-999,-90,-47,3
33,-999,-100,-47,3
34,-999,-999,-999,3
35,-999,-999,-999,3
36,-999,-96,-44,3
37,-999,-999,-48,3
38,-999,-90,-47,3
39,-999,-95,-45,3
40,-999,-999,-999,3
41,-999,-89,-45,3
42,-999,-98,-44,3
43,-999,-97,-48,3
44,-999,-89,-45,3
45,-999,-99,-47,3
46,-999,-90,-45,3
47,-999,-96,-44,3
48,-999,-999,-47,3
49,-999,-999,-999,3
50,-999,-96,-44,3
51,-999,-999,-47,3
52,-999,-90,-45,3
53,-999,-97,-44,3
54,-999,-97,-44,3
55,-999,-90,-45,3
56,-999,-97,-44,3
57,-999,-999,-47,3
58,-999,-90,-45,3
59,-999,-999,-47,3
60,-999,-90,-47,3
61,-999,-94,-44,3
62,-999,-999,-47,3
63,-999,-999,-999,3
64,-999,-97,-44,3
65,-999,-999,-47,3
66,-999,-90,-45,3
67,-999,-90,-45,3
68,-999,-999,-999,3
69,-999,-89,-45,3
70,-999,-97,-45,3
71,-999,-90,-47,3
72,-999,-89,-45,3
73,-999,-999,-47,3
74,-999,-89,-45,3
75,-999,-96,-44,3
76,-999,-999,-999,3
77,-999,-999,-48,3
78,-999,-999,-999,3
79,-999,-97,-44,3
80,-999,-96,-44,3
81,-999,-89,-45,3
82,-999,-96,-44,3
83,-999,-999,-999,3
84,-999,-89,-45,3
85,-999,-97,-44,3
86,-999,-89,-45,3
87,-999,-999,-999,3
88,-999,-999,-999,3
89,-999,-999,-48,3
90,-999,-999,-999,3
91,-999,-90,-45,3
92,-999,-96,-44,3
93,-999,-999,-47,3
94,-999,-999,-999,3
95,-97,-96,-44,3
96,-999,-999,-46,3
97,-999,-90,-45,3
98,-999,-89,-46,3
99,-999,-999,-999,3
100,-999,-89,-44,3
101,-999,-96,-44,3
102,-999,-999,-47,3
103,-999,-89,-45,3
104,-999,-94,-44,3
105,-999,-999,-999,3
106,-999,-90,-45,3
107,-999,-999,-47,3
108,-999,-91,-45,3
109,-999,-999,-999,3
110,-999,-102,-46,3
111,-999,-90,-45,3
112,-999,-999,-47,3
113,-999,-999,-999,3
114,-999,-94,-44,3
115,-999,-90,-49,3
116,-999,-90,-45,3
117,-999,-999,-999,3
118,-999,-90,-45,3
119,-999,-96,-44,3
120,-999,-90,-47,3
121,-999,-999,-999,3
122,-999,-999,-47,3
123,-999,-90,-45,3
124,-999,-92,-44,3
125,-999,-999,-49,3
126,-999,-98,-43,3
127,-999,-102,-47,3
128,-999,-90,-47,3
129,-999,-999,-999,3
130,-999,-95,-44,3
131,-999,-90,-45,3
132,-999,-96,-44,3
133,-999,-999,-47,3
134,-999,-90,-46,3
135,-999,-999,-47,3
136,-999,-999,-999,3
137,-999,-90,-45,3
138,-999,-90,-46,3
139,-999,-97,-44,3
140,-999,-96,-44,3
141,-999,-999,-999,3
142,-999,-96,-44,3
143,-999,-96,-44,3
144,-999,-999,-47,3
145,-999,-90,-44,3
146,-999,-96,-45,3
147,-999,-999,-999,3
148,-999,-90,-45,3
149,-999,-96,-44,3
150,-999,-999,-999,3
151,-999,-90,-45,3
152,-999,-90,-45,3
153,-999,-999,-47,3
154,-999,-90,-44,3
155,-999,-89,-44,3
156,-999,-95,-42,3
157,-999,-999,-47,3
158,-999,-96,-43,3
159,-999,-999,-999,3
160,-999,-90,-47,3
161,-999,-90,-46,3
162,-999,-96,-50,3
163,-999,-999,-999,3
164,-999,-999,-999,3
165,-999,-90,-45,3
166,-999,-96,-44,3
167,-999,-999,-47,3
168,-999,-999,-999,3
169,-999,-89,-45,3
